Crop Name,Nitrogen (N),Phosphorus (P),Potassium (K),Temperature (°C),Humidity (%),pH,Soil Type,Required Water (mm per acre)
Barley,239,35,86,15.083360056417341,58.634909012743535,7.0,Silty,1221
Rice,257,70,59,13.991322079186563,25.88950018986008,4.1,Silty,1067
Soybean,199,88,66,37.2419354916463,96.8321151771376,8.8,Clay,1351
Barley,281,94,133,35.37903499499455,24.777821092053046,8.4,Peaty,301
Pulses,115,57,31,16.63959141766465,51.196072904922644,5.2,Sandy,990
Sugarcane,174,33,92,21.65499026784333,21.72556178013627,5.9,Sandy,698
Groundnut,57,98,39,39.93787245862039,29.711457192509847,5.8,Sandy,551
Wheat,99,30,46,24.94914788379468,99.21115960680672,4.8,Clay,324
Groundnut,166,33,86,11.20617565939848,39.3517239124307,6.0,Loamy,1477
Wheat,286,40,97,11.617676405971682,64.09835572333525,7.9,Chalky,1092
Cotton,107,61,102,39.14058400503595,25.97940252766478,4.5,Clay,1367
Wheat,102,24,58,33.18516880738778,54.40757187604863,5.3,Loamy,582
Soybean,217,85,94,27.527003023013226,92.3171806211079,8.6,Clay,1080
Soybean,124,94,50,27.240501469724794,69.80622539235134,8.7,Sandy,1094
Wheat,89,42,140,32.61379027073535,67.86913566812741,7.2,Silty,1399
Millets,171,79,27,32.68419011222785,47.81035642940435,5.1,Sandy,474
Groundnut,84,89,70,22.86710426039468,76.5656155230659,6.2,Chalky,1263
Groundnut,288,60,110,27.3865091105919,83.27722178604108,5.0,Sandy,1366
Rice,239,44,98,39.45082547570806,34.193466471360864,6.0,Loamy,676
Soybean,104,64,20,35.41688795245335,95.33965900190755,7.7,Silty,613
Pulses,280,51,81,32.14899654752196,43.909800094236275,8.9,Peaty,747
Millets,176,24,142,27.43894919768396,78.38683159015912,6.9,Silty,388
Maize,220,51,94,33.51369272731957,24.23035839615426,6.5,Peaty,624
Barley,80,97,121,12.320266980829654,48.27034823785902,7.8,Silty,898
Rice,180,99,29,31.123144980515026,34.67207860390741,6.1,Chalky,406
Wheat,272,45,51,38.40956731463164,41.336504393683796,5.7,Peaty,1109
Maize,148,73,86,13.93285777154873,28.1963718934308,9.0,Clay,753
Barley,114,71,44,31.155358777793168,62.01742954669328,7.3,Loamy,846
Groundnut,71,90,139,14.784039525592862,22.167750363112155,7.7,Chalky,939
Barley,167,44,125,39.829437447305395,67.94368031173303,5.8,Chalky,1445
Maize,84,27,49,27.658984768089095,84.85051540067745,8.8,Loamy,359
Rice,151,86,115,18.477820768946508,99.55107744309652,4.8,Chalky,793
Pulses,282,97,142,30.987179865410234,80.42727549019425,7.8,Sandy,497
Groundnut,233,61,149,13.547447858123093,99.10712289893083,4.2,Chalky,929
Millets,124,26,32,39.91148632800085,59.10329035347924,7.0,Chalky,358
Millets,233,20,64,16.71654358906879,42.38537252426287,5.0,Loamy,686
Groundnut,213,22,83,38.68668265838889,45.18968058841553,8.5,Loamy,1007
Millets,137,57,121,33.440649145539496,50.16638182226211,4.2,Chalky,1331
Millets,288,25,132,18.301857806266618,62.32622590329249,6.2,Peaty,535
Barley,180,50,83,11.574437700464399,42.67011607868551,8.5,Sandy,853
Pulses,109,93,22,15.8069974180532,30.57094635735489,4.8,Clay,1059
Maize,130,87,136,32.078530296341995,90.05842562500791,4.2,Silty,1409
Maize,287,45,126,11.549725552755918,93.18535077245393,8.6,Clay,1171
Maize,132,81,97,27.27270968379652,52.67480970846841,5.5,Sandy,342
Groundnut,235,48,72,11.898006756152698,65.2777853631664,6.4,Sandy,1326
Sugarcane,93,30,122,39.923652096801575,33.89398503743713,8.2,Loamy,877
Sugarcane,162,48,23,37.4085019234402,41.96165359478152,5.2,Loamy,807
Pulses,205,75,142,34.1085814474158,76.00079614491682,8.7,Clay,733
Millets,205,90,115,36.05800959008032,20.884249083035655,8.2,Peaty,1217
Soybean,80,53,71,19.358862735392407,87.94765947971688,4.6,Silty,1268
Cotton,223,66,123,26.77289804704862,85.18498722544258,6.0,Peaty,1386
Maize,183,61,56,38.45734335093847,99.1284536579044,4.8,Silty,756
Rice,151,43,95,21.85385865096595,78.09411833236612,6.0,Peaty,1013
Maize,71,65,88,21.37652940517558,22.182658877206663,5.9,Peaty,1180
Groundnut,72,85,125,17.473410638285465,57.56907156888049,6.4,Chalky,472
Barley,142,71,89,33.06866587817031,60.8654363400489,5.0,Chalky,983
Cotton,111,28,136,18.946228301280332,97.44668278354018,4.8,Loamy,614
Millets,122,86,133,17.632918356608844,20.985043171660855,5.5,Clay,415
Cotton,122,54,149,30.290586864985606,63.39092063727422,4.7,Clay,1227
Wheat,203,95,59,37.656703894319705,76.50980612729981,5.6,Loamy,553
Groundnut,96,68,102,26.17409430482161,83.80480886621496,8.6,Chalky,665
Groundnut,52,71,55,26.49983974111942,45.259765213864696,6.2,Chalky,1057
Soybean,121,93,78,38.86885321127977,28.797516613685296,5.3,Silty,533
Sugarcane,154,68,104,39.221835888182916,32.61926792410041,6.4,Chalky,837
Cotton,185,93,48,35.94854926825601,94.58852049245303,8.1,Sandy,561
Groundnut,182,46,101,10.000450397654163,27.636071154622304,7.9,Loamy,727
Groundnut,176,74,117,27.132608376481876,82.66679490231587,4.2,Sandy,1001
Wheat,123,25,134,11.380759859404673,28.673345918172963,4.5,Chalky,633
Pulses,279,57,124,19.826657459590358,50.834584670134035,4.9,Chalky,704
Soybean,227,21,51,37.03806628039072,98.67765220181705,8.6,Silty,903
Maize,184,86,106,20.04497958026508,97.2933680071595,4.2,Clay,1272
Cotton,286,30,69,35.08201790812747,53.375788397288446,6.0,Clay,1268
Wheat,76,47,95,21.733576602716887,37.667844035119565,5.5,Peaty,479
Soybean,252,77,147,38.4027612896698,46.76906508588485,5.6,Chalky,586
Millets,112,25,52,38.608629425685976,54.62652582568312,4.5,Clay,1162
Maize,108,24,25,19.2562855774923,38.83257162235778,8.8,Silty,1126
Cotton,294,86,93,20.08285937492388,96.38631670379185,4.3,Clay,654
Maize,149,74,67,29.31549987757069,36.932536114774486,4.6,Silty,1122
Wheat,151,51,100,30.38835478836876,54.40758496203028,6.1,Loamy,887
Cotton,221,92,67,22.34938478001186,38.712889050181005,4.7,Sandy,397
Millets,190,88,150,10.353537653222588,93.20402618398273,6.1,Chalky,352
Sugarcane,244,92,33,13.008108509878321,22.03964116659734,4.0,Peaty,731
Barley,300,40,112,14.560633337137812,26.539043315176567,6.0,Sandy,980
Groundnut,228,97,136,32.1140105956526,35.834054582387154,7.1,Chalky,954
Soybean,101,81,65,37.75275627973761,39.476152861285634,7.5,Peaty,456
Maize,183,58,121,32.320610814541205,99.81008195248239,6.3,Chalky,581
Sugarcane,117,86,83,16.03140597536636,23.21250636808334,5.3,Loamy,552
Groundnut,192,67,128,14.878021021016876,81.57012183017912,7.0,Chalky,1113
Maize,258,24,67,11.845425751359647,61.42452713184748,4.5,Clay,1164
Groundnut,259,75,45,12.818184348875091,88.2481382135073,5.6,Silty,966
Soybean,197,69,64,17.63209471546502,32.17495077430425,6.3,Sandy,527
Groundnut,170,73,66,24.274301647334187,59.623576762425216,6.5,Clay,1217
Soybean,256,47,95,34.98162475921514,88.00697801774328,5.5,Chalky,485
Maize,59,49,67,23.36666506534145,57.370841932477596,8.8,Silty,1168
Sugarcane,206,57,145,34.51324246555451,54.26498928996569,6.2,Loamy,820
Barley,231,59,129,29.432650131883403,24.91350234240178,6.6,Peaty,744
Millets,220,36,70,30.515907030315457,80.83539748797114,7.0,Loamy,1026
Wheat,159,87,76,29.56002700531887,75.87266327832377,7.9,Chalky,718
Rice,208,92,124,10.085926624888131,74.81980439265261,6.3,Clay,1494
Wheat,183,80,99,39.826160838044544,74.98142453378165,8.8,Clay,1133
Maize,180,40,72,35.811873845670476,92.30243374679459,6.3,Silty,1166
Maize,297,51,131,32.46253379417022,33.611782509751976,7.7,Chalky,652
Barley,110,57,97,24.69771773215544,79.77254187927214,5.6,Sandy,935
Cotton,62,90,116,31.249857057442153,66.20777489810094,5.9,Silty,394
Millets,146,31,142,37.41292968254794,51.32785609977255,6.2,Loamy,1353
Rice,107,39,25,30.808724375424525,31.582456337914344,7.5,Loamy,1348
Barley,292,73,33,19.5248047702094,84.82652676934993,8.6,Peaty,966
Millets,117,94,86,10.019202408646674,83.00140547870075,6.0,Sandy,726
Wheat,172,77,45,11.727286775360614,79.94194080553538,5.5,Sandy,380
Soybean,65,60,82,22.899378086709735,72.31020259654983,5.7,Chalky,1004
Maize,117,76,98,23.763155974014964,48.4351009635509,8.3,Silty,1238
Sugarcane,97,35,43,19.812995062408362,51.76434175486029,5.6,Silty,1055
Barley,87,100,70,34.738976623187654,68.28867606678781,5.5,Clay,843
Rice,59,60,47,38.04482306422116,78.46010140898738,8.6,Peaty,953
Barley,152,62,43,20.274544499457477,40.258806714470765,6.8,Clay,447
Sugarcane,189,22,135,27.093416789013016,32.37224160299778,4.3,Sandy,560
Pulses,252,57,97,19.93190425991672,59.022672805088305,7.5,Chalky,714
Pulses,126,33,76,32.00245939146035,31.123493203515025,8.2,Loamy,702
Wheat,72,70,105,27.68319015265363,66.97078385191354,4.4,Silty,1453
Sugarcane,243,56,48,34.299183084860374,63.810811982368975,7.9,Peaty,945
Maize,87,95,99,15.648605174050743,65.97649305270085,5.8,Loamy,687
Soybean,100,67,51,37.13019719784381,86.24443831509366,6.3,Chalky,827
Millets,209,58,94,18.175272507642262,35.94739573216592,7.8,Sandy,1352
Groundnut,245,87,150,12.15188118164846,77.77578176702633,7.0,Sandy,499
Pulses,201,67,121,37.10278432130683,78.46803609118136,7.9,Peaty,644
Cotton,274,53,60,30.541208088179093,71.15839382250712,8.9,Sandy,1047
Groundnut,109,57,79,11.544780039705332,75.748474056368,5.1,Loamy,533
Maize,143,66,30,10.160601350100764,53.71555359626652,8.0,Sandy,300
Maize,287,71,26,14.216696042793814,93.53522409920085,7.7,Loamy,1123
Sugarcane,278,100,36,16.933726923730468,34.87704034175978,6.7,Loamy,892
Rice,128,33,118,16.247987064765603,38.620810274667654,6.6,Silty,452
Barley,181,96,89,19.05079919100562,40.08456729042133,5.7,Chalky,371
Pulses,85,80,27,22.804029372165466,87.36075179001037,6.0,Sandy,336
Cotton,179,68,60,23.962768073799413,78.6566134978006,4.5,Clay,639
Pulses,238,79,93,12.721799123133712,99.06442195661407,4.4,Sandy,636
Maize,189,26,67,35.07811952232454,87.38439586117208,6.3,Clay,345
Rice,196,54,53,36.63555507417557,62.71954703289899,4.2,Peaty,765
Maize,180,38,81,26.914699082212163,53.059099482886566,7.6,Silty,541
Wheat,179,92,79,13.597362472759482,91.18625597691104,7.8,Sandy,926
Sugarcane,116,67,120,14.208952026558133,94.79629927459489,6.3,Silty,784
Millets,283,86,46,11.052347012267049,95.56198006358764,4.8,Sandy,1243
Cotton,166,68,124,11.904160447959592,22.024958461211035,8.1,Loamy,1037
Groundnut,289,100,126,26.225290906917746,73.60859693079829,6.9,Peaty,1152
Rice,255,78,76,14.877014973136543,22.275623816834305,6.6,Silty,1343
Sugarcane,181,77,32,10.854940938086456,60.96791764009582,7.7,Clay,1406
Soybean,144,55,144,18.469747858795177,89.01579123428569,8.1,Sandy,1188
Groundnut,107,33,103,29.84824431276453,40.29678091156656,6.2,Loamy,1307
Barley,184,42,30,13.794676861585511,76.72780809875044,4.5,Sandy,316
Pulses,208,65,116,24.587527913424083,58.03095239572859,6.6,Chalky,369
Barley,85,79,87,19.730499968743764,47.9103570042835,6.3,Loamy,1101
Millets,229,98,136,15.445800845869766,38.72219680987577,4.4,Clay,347
Barley,187,74,98,34.503135113221035,72.62904991663258,5.3,Silty,1134
Sugarcane,85,97,108,27.15311602110224,33.635475800634254,4.2,Peaty,585
Wheat,168,63,105,27.337222045637805,80.61094390712191,4.7,Chalky,1090
Wheat,238,62,92,39.00918053492606,45.189287724919666,5.0,Sandy,1152
Millets,72,47,53,15.834644076961139,61.02130217497576,8.1,Loamy,415
Millets,205,38,62,32.199044246790336,29.18112777303697,6.2,Loamy,466
Wheat,51,98,56,38.80425531572279,60.64269595318236,5.3,Chalky,380
Pulses,291,23,37,27.5797889501712,74.33364529888328,7.3,Clay,414
Groundnut,225,88,108,21.165925503369458,91.68710149123567,8.6,Sandy,1157
Rice,286,58,38,10.502419621730803,56.38309619135902,4.9,Clay,750
Sugarcane,92,58,54,36.03183501911565,43.1442270870529,5.2,Chalky,633
Groundnut,97,67,129,21.07267930524589,74.21764396518009,9.0,Clay,1114
Wheat,289,50,51,30.818181034129726,20.02425073445192,5.5,Peaty,1086
Sugarcane,175,64,129,23.218198418899426,35.16665006495791,7.5,Peaty,494
Groundnut,70,96,42,25.188486607795085,81.73896028732283,7.0,Loamy,1437
Groundnut,58,72,86,19.38209629521309,20.664942936648334,8.4,Silty,346
Soybean,248,32,125,23.67690997174344,46.5347973592488,5.3,Clay,1368
Pulses,208,41,21,36.97532846688078,39.681116697124196,4.6,Chalky,610
Barley,51,25,145,29.77428977483471,45.524577839599765,5.0,Sandy,1435
Pulses,173,76,43,19.53817215351993,42.06760553896637,7.5,Peaty,644
Cotton,124,29,56,16.393723447586215,25.821908431068373,8.8,Clay,1239
Sugarcane,130,30,74,29.73068229945631,92.2387965840271,8.9,Sandy,494
Rice,222,43,118,34.78555700183624,83.50121593270332,4.6,Peaty,384
Rice,167,91,94,10.883266922714474,77.98345850373548,5.8,Silty,785
Pulses,282,26,129,16.80304988223423,30.508271834694057,5.7,Silty,514
Pulses,300,28,116,18.616050206177825,74.010159311926,7.5,Chalky,349
Maize,63,100,149,36.31489007995209,79.98846694816592,4.9,Clay,781
Maize,196,63,63,34.982345920446036,77.61688577693589,5.2,Peaty,418
Rice,131,92,89,21.33904124079355,52.850264705975206,4.3,Chalky,953
Cotton,285,86,55,23.452819395099397,83.7223905956852,7.5,Clay,620
Cotton,171,98,132,16.446949980228844,71.14066460528718,4.4,Clay,1411
Pulses,293,21,130,13.890021499424329,58.630821680916576,6.9,Sandy,689
Wheat,52,66,133,20.674889308287746,24.772851501341524,8.4,Clay,1421
Soybean,281,76,32,24.812085522708863,95.48133113148636,5.6,Sandy,615
Maize,89,50,149,33.589923483624034,98.56507509991141,5.0,Silty,1084
Wheat,88,20,60,25.071210045161056,98.30193976949522,8.3,Silty,728
Pulses,112,26,38,24.845705630223954,72.04385052982177,5.8,Silty,1238
Maize,73,48,134,16.52114355165711,72.88234772322713,5.8,Loamy,511
Wheat,124,25,52,34.63319398584007,29.879642245552162,8.4,Sandy,1130
Rice,68,40,72,36.98954013316296,89.2760853367831,9.0,Loamy,997
Groundnut,227,32,144,30.69656915809175,60.73373340263244,4.3,Chalky,1165
Barley,246,95,60,23.163783851622043,59.48822612246637,5.8,Clay,1242
Soybean,65,38,46,17.59578940862933,43.8238460541914,5.0,Silty,644
Pulses,157,41,58,20.939008558064323,58.655714983846224,8.3,Peaty,654
Wheat,61,69,103,24.13316223406458,27.174839778539905,8.7,Chalky,360
Sugarcane,169,48,21,35.892000049031466,93.33933507164322,6.1,Clay,973
Cotton,170,35,114,21.046197761836673,45.33149572097692,6.7,Silty,892
Sugarcane,99,72,79,37.071321016189465,21.07652203219751,8.0,Clay,1413
Cotton,131,47,29,25.23764817350544,46.77924263538031,5.7,Clay,1471
Cotton,271,57,73,34.25246302837681,49.07600177954764,4.4,Silty,1068
Soybean,94,39,88,31.187240548154488,67.31388786745912,6.6,Clay,1338
Rice,96,32,132,14.236297334999104,35.29508876585405,5.5,Sandy,557
Groundnut,292,76,40,37.59980516559919,37.999804292360125,6.6,Silty,737
Maize,110,81,146,34.071658115888724,68.03779412294618,4.8,Sandy,828
Millets,79,83,146,37.817037519502044,32.70030236357372,6.0,Loamy,1231
Wheat,85,36,44,20.46577354082246,49.097848298108396,8.2,Silty,489
Groundnut,119,55,60,30.519255371113964,34.363647825868654,8.0,Sandy,625
Cotton,273,80,138,26.306735838199913,47.34297980700155,7.6,Sandy,724
Wheat,69,67,126,24.931426188744513,64.163988303791,7.0,Silty,1215
Groundnut,58,64,94,23.825160682730505,58.04793445469305,5.6,Sandy,741
Soybean,252,87,98,32.17457013303323,88.08950997165277,8.7,Clay,328
Millets,178,98,42,16.424952177998893,77.32439229216382,6.3,Sandy,315
Rice,219,68,90,15.690682127896197,25.788805936354542,8.3,Peaty,529
Sugarcane,177,46,25,17.468199401473214,79.09958865079064,4.5,Clay,1420
Groundnut,214,97,134,24.421976832079963,56.5513021171024,8.2,Sandy,572
Sugarcane,277,52,127,36.39092026425035,90.61914403171187,4.4,Peaty,1086
Groundnut,288,28,59,26.689102929435702,20.549962176305367,4.3,Chalky,1297
Cotton,144,52,29,13.157093179669303,33.05262738858068,6.4,Loamy,1232
Wheat,242,68,139,25.917330349826088,22.07695558610986,4.1,Clay,1169
Cotton,150,40,39,27.41929715612145,30.320713155575927,6.3,Chalky,1040
Soybean,115,60,116,29.608703267056686,59.92030229807888,8.0,Loamy,1129
Wheat,109,50,115,13.925334127857482,68.35370843907883,4.7,Sandy,1491
Groundnut,275,46,123,35.20848904115637,37.28130006047643,5.5,Chalky,1051
Millets,93,82,25,32.79144181023706,48.124159808279984,4.8,Chalky,1226
Soybean,167,35,80,34.069579484746114,37.32470126472802,8.8,Silty,1150
Groundnut,221,27,68,17.143062367257983,25.24055688838604,6.9,Silty,1394
Barley,105,34,57,21.26743875382935,33.03910072322306,7.1,Peaty,600
Sugarcane,65,89,96,26.833784466875688,80.76320026531072,8.1,Silty,520
Groundnut,164,92,104,32.33693675374272,27.531072635563394,5.8,Clay,1424
Barley,237,73,129,11.925565148964727,20.41993690323902,7.2,Peaty,987
Barley,238,81,98,36.37871438705184,37.39403653658098,7.7,Sandy,432
Millets,85,42,25,29.810375870519717,58.46236661411468,4.8,Chalky,951
Millets,93,91,124,24.184182238748043,92.98449382250627,4.5,Peaty,878
Groundnut,130,79,115,17.897314356077374,40.58421152750242,7.7,Peaty,669
Groundnut,228,45,40,18.13913145126008,51.30664842616539,8.5,Chalky,1298
Millets,86,69,126,12.717679987704667,38.85422356899714,6.4,Chalky,1389
Rice,282,30,44,26.585905761258918,63.0046454137582,8.0,Chalky,707
Maize,116,91,81,15.272208162793408,36.74252629493964,6.5,Clay,933
Barley,216,91,95,17.466099917940152,62.24525158635441,5.4,Chalky,1219
Sugarcane,168,37,69,23.457910210212532,34.29511510315585,5.0,Peaty,422
Maize,253,58,135,11.738990915076897,36.86096626356576,5.0,Peaty,862
Sugarcane,142,42,47,36.779752986333605,71.24070433558998,6.0,Loamy,340
Rice,214,42,147,34.55557183331609,71.32776011836552,8.8,Clay,1351
Sugarcane,273,33,122,22.341304787122986,93.93417529909242,5.6,Loamy,565
Millets,69,64,52,21.582840595418098,65.03820828263635,8.0,Clay,871
Soybean,242,30,85,29.452052028413,53.78233781809876,5.6,Peaty,832
Pulses,77,55,111,39.78729570242145,88.92571939562649,4.6,Clay,1120
Barley,130,53,87,26.789313427418897,42.16212093600752,5.4,Silty,586
Barley,268,33,69,26.105429351586686,75.53983576979924,4.9,Peaty,1457
Wheat,249,31,123,32.55481034002024,34.547143433932554,8.9,Clay,1304
Wheat,90,39,115,31.97155931429426,44.71185655109997,5.3,Loamy,1066
Maize,63,47,34,23.839956255847483,53.67841553916617,8.6,Chalky,1080
Rice,107,22,41,18.004980889516254,45.625330847182504,5.8,Peaty,347
Rice,162,66,34,34.01360872814209,86.61043359057659,5.0,Peaty,583
Barley,75,77,61,23.563974525065028,29.087916364135012,8.1,Silty,1063
Millets,51,42,143,25.27576010786913,28.933584426905064,4.4,Peaty,1295
Soybean,123,68,59,11.300442674385108,40.933753037250014,4.3,Silty,310
Soybean,205,65,59,26.394127920915576,61.95104083440917,7.2,Sandy,901
Groundnut,119,74,68,17.175645972172916,55.2549737936097,7.3,Sandy,430
Barley,238,35,121,30.07647181593915,41.757314671030144,5.3,Silty,404
Millets,65,41,76,15.202980025660814,84.43202347351439,4.5,Peaty,339
Sugarcane,288,72,32,33.745729791565566,63.18138122061918,5.6,Sandy,1101
Barley,277,30,27,23.544849081470726,48.16504831325829,7.6,Silty,1356
Barley,64,62,148,10.967444973632551,27.003815607645826,5.3,Chalky,891
Millets,246,62,59,38.14200030184819,67.1661655905732,6.4,Peaty,1296
Barley,158,35,98,31.111932442328488,92.17138016435283,7.0,Clay,1411
Maize,159,70,77,16.614778493500843,46.94344395726283,5.4,Chalky,1376
Millets,113,75,135,38.587752241322804,59.31413747265399,8.8,Peaty,319
Sugarcane,195,49,78,28.453104202857958,80.6588196024876,8.9,Chalky,1090
Rice,118,32,60,16.405894840911227,35.50933637429544,8.3,Silty,1214
Sugarcane,77,45,89,39.161449845819256,22.884119997799928,5.2,Clay,1405
Rice,188,88,82,15.486791712249028,20.157598042603677,8.3,Loamy,1122
Groundnut,265,44,140,24.655009634616466,64.95287997968857,7.0,Loamy,1165
Rice,187,89,51,11.109897200616047,87.92369324441704,4.8,Chalky,1465
Barley,237,49,118,18.1062076159289,39.32633308407282,8.7,Clay,582
Soybean,61,93,44,39.449427361078506,99.99389311233365,6.9,Clay,373
Rice,276,37,57,31.096291268186317,79.68033878636355,6.0,Clay,1387
Groundnut,92,88,28,31.16160313846049,68.04965533613876,8.1,Chalky,564
Soybean,132,50,78,16.072594341657314,86.96578459878732,4.6,Loamy,1338
Sugarcane,221,47,81,22.72839940772994,36.5712790043845,7.3,Sandy,853
Barley,215,70,148,36.748100589925556,76.6997460806336,5.5,Peaty,416
Barley,249,99,102,21.189540004807043,61.26680282081401,4.6,Loamy,534
Sugarcane,277,28,102,19.0870421947007,71.25585410915902,4.1,Silty,1329
Groundnut,99,29,63,16.37399096593036,53.71098582203832,8.7,Peaty,322
Sugarcane,258,24,44,25.080731929912524,55.83231005410147,4.3,Clay,906
Soybean,250,68,75,20.97872025244914,99.34697999471167,7.1,Peaty,393
Groundnut,171,21,101,11.75458812652698,34.841919337270994,5.1,Silty,901
Sugarcane,212,47,65,12.949777024078347,46.37931414539808,6.5,Sandy,1126
Millets,66,51,78,30.8537417216631,91.99022875734966,5.9,Chalky,364
Wheat,99,95,71,27.089629652493997,98.16727371259586,4.4,Silty,631
Maize,147,31,129,22.613238441968512,58.14905110151269,8.3,Silty,636
Sugarcane,97,34,82,12.499936416103903,46.60068707406577,5.0,Clay,1384
Sugarcane,260,88,40,16.490669218645504,43.58069851630833,6.5,Peaty,972
Maize,201,45,85,28.034586355818025,36.368856228606774,6.0,Clay,1219
Pulses,63,33,75,20.15067411794724,57.331959371049095,5.5,Sandy,382
Millets,121,48,38,32.070493307322245,59.717864675102476,7.8,Chalky,1435
Maize,219,44,146,29.754513166400784,20.5010887984644,5.3,Clay,336
Sugarcane,295,47,116,13.607462420644564,74.25326312082785,6.7,Peaty,349
Maize,158,68,107,23.78900368735203,38.79816338426921,8.5,Silty,806
Cotton,159,74,122,10.281970220820684,88.17631485976865,7.8,Sandy,1371
Sugarcane,115,70,91,24.50246999770625,62.98854783310291,7.7,Clay,561
Groundnut,60,80,133,34.181461312854225,84.60286814516402,7.2,Loamy,1365
Soybean,91,38,46,21.539684100218267,50.5068501625999,6.1,Silty,440
Groundnut,100,41,141,28.070817226162507,71.70168078969635,8.9,Loamy,450
Barley,80,25,113,34.652683140938215,28.2517141543956,5.2,Silty,1120
Millets,267,77,112,11.265182304074694,31.48826062758762,7.6,Clay,641
Soybean,161,24,60,28.647827539674243,51.1941927519069,4.4,Chalky,361
Cotton,264,55,53,30.518185171679125,24.73446642270443,6.7,Peaty,753
Wheat,146,75,81,32.173012889619585,23.581345354379444,4.8,Loamy,683
Sugarcane,123,86,85,14.125883378370926,80.20224604737821,5.3,Peaty,1299
Barley,258,82,20,23.745647842693515,66.42257875906824,5.3,Peaty,1451
Pulses,237,78,25,36.34371416189239,76.62687116935298,8.8,Clay,380
Rice,222,84,46,22.223596706178625,79.1361761385364,5.3,Chalky,610
Pulses,297,55,78,20.47638859152391,43.27264796522917,7.8,Sandy,730
Maize,213,28,61,11.363311249752542,99.23882934016896,7.0,Chalky,714
Rice,140,83,141,29.088810211257524,96.11176027127014,6.2,Silty,1390
Cotton,77,46,94,31.19983779375825,71.48139706455258,6.6,Silty,847
Wheat,58,97,130,11.350378777935621,28.690304433635106,6.1,Peaty,1410
Cotton,226,91,55,28.10468570143077,91.46988528118528,4.9,Sandy,320
Pulses,235,95,128,16.984797096237898,98.49068764362389,8.3,Peaty,928
Millets,291,39,60,21.485997073434238,55.9290008996871,6.0,Silty,371
Rice,265,33,122,10.868146012720496,61.1829451307418,5.5,Clay,1175
Groundnut,251,57,103,23.605322076738908,60.14534002382714,8.4,Peaty,1350
Millets,131,48,46,19.146471579822567,39.57248630898825,8.7,Peaty,537
Sugarcane,112,79,114,11.682249653044419,45.151508580762034,4.8,Silty,1374
Soybean,197,98,97,27.850537952707686,74.6245569426242,6.9,Chalky,883
Maize,296,68,22,21.179094061455025,52.42256070766423,7.9,Silty,1380
Pulses,62,95,116,10.458143087065533,23.581597774362947,5.3,Chalky,1366
Wheat,295,84,52,28.998726581029953,91.27189849129789,7.6,Loamy,838
Sugarcane,276,56,77,12.514321953024997,39.25298614470208,7.6,Loamy,820
Millets,52,46,116,25.01065071418811,21.95483662667816,4.3,Silty,565
Cotton,127,100,107,13.065026792400664,58.786797355038956,6.9,Peaty,1315
Maize,59,70,86,27.584275891069257,88.83987902760042,4.5,Loamy,463
Groundnut,166,38,148,10.28669567532835,73.31682735375108,8.4,Silty,1269
Maize,69,82,83,30.169043837272095,61.8225292984409,5.6,Peaty,700
Soybean,103,37,26,22.571556989463666,26.425305231475697,7.8,Sandy,925
Sugarcane,171,52,107,38.75828931266945,81.35266102783032,6.3,Chalky,1484
Barley,141,78,29,37.52996729234239,59.96199704805846,8.5,Clay,912
Maize,92,88,111,38.72386893194463,97.75852210869351,5.2,Chalky,1362
Groundnut,234,48,129,11.216044963382064,35.402107074952404,5.5,Chalky,1295
Pulses,283,74,135,14.633746790970516,80.51470148552198,5.4,Sandy,495
Barley,182,24,25,33.3454113631056,86.19124924175706,4.8,Peaty,1063
Sugarcane,286,79,121,35.75034042279097,77.5929891863608,7.1,Sandy,737
Sugarcane,144,89,60,13.09293817215328,69.80081444102116,5.5,Silty,1034
Millets,64,30,123,29.010671400023675,29.218862066803055,4.2,Chalky,618
Barley,225,60,118,39.5428046949926,81.11601466439899,4.7,Chalky,632
Rice,266,73,125,17.737372695024906,92.64205332705455,7.0,Chalky,921
Sugarcane,232,71,133,13.924050015495416,88.83367115537604,6.5,Peaty,611
Pulses,149,51,54,28.715920064072968,42.350898405109305,6.4,Sandy,471
Maize,136,78,122,12.279491990027903,91.35293693572484,6.2,Chalky,496
Wheat,206,32,41,14.33085777335437,31.930966100228826,5.2,Clay,1178
Wheat,78,51,24,31.371887938441713,20.849943168972437,5.8,Peaty,1273
Wheat,196,70,145,23.7441866252842,49.873989468942156,8.9,Loamy,751
Wheat,82,97,29,16.14310001538288,46.77897244142335,8.0,Chalky,802
Pulses,243,41,38,39.00540665454302,92.75982711237592,4.8,Silty,1199
Pulses,265,53,47,26.672715310584312,83.49844611913473,4.4,Chalky,1407
Groundnut,58,26,70,27.68067535611947,71.97507002222453,5.8,Clay,679
Pulses,209,33,35,38.055352861244,83.9226972704389,5.3,Silty,1204
Cotton,92,52,92,18.37074093827583,87.50257313625835,7.5,Clay,1379
Rice,135,69,139,25.1136470801731,58.59850627070627,4.3,Peaty,348
Millets,69,77,104,13.503714834230546,51.966879636081686,7.5,Sandy,1050
Barley,161,90,57,23.872109935163078,60.9350587514491,6.3,Silty,469
Soybean,216,89,129,21.0159975284229,82.44678563660355,6.8,Sandy,709
Groundnut,180,65,124,29.555980075036995,80.63080949741156,8.6,Clay,768
Sugarcane,136,99,111,19.708916609009968,71.22533335797456,8.7,Chalky,617
